,No.,Material,Part Name,Storage Bin,Tact,Rack Number,Box 1,Box 2,Box 3,Box 4,Box 5,Recount 1,Recount 2,Recount 3,Recount 4,Recount 5,Status,Verify By,Remark,
,72,N  10699701,HEXAGON FLANGE BOLT,GT1-29,01 LHS,3,308,,,,,,,,,,Verified,BEE,,
,73,4S0951257,HEX.NUT,GT1-02,01 LHS,3,475,,,,,,,,,,Verified,BEE,,
,74,6R0611797D,BRACKET,GT1-09,01 LHS,3,74,526,,,,,,,,,Verified,BEE,,
,75,N  90638104,HEXALOBULAR SOCKET PAN HEAD SCREW,GT1-20,01 LHS,3,134,,,,,,,,,,Verified,BEE,,
,76,N10737001,PREV.TORQUE TYPE HEX.NUT W.FLANGE,GT2-45,01 LHS,3,88,,,,,,,,,,Verified,BEE,,
,77,N  10124501,COVER,GT1-03,01 LHS,3,182,,,,,,,,,,Verified,BEE,,
,78,N  90335004,CLAMPING WASHER,GT1-04,01 LHS,3,1000,,,,,,,,,,Verified,BEE,,
,79,N  90761103,PREV.TORQUE TYPE HEX.NUT W.FLANGE,GT1-48,01 LHS,3,0,,,,,,,,,,Counted,,,
,80,5WA825841,PROTECTION,GT1-49,01 LHS,3,56,,,,,,,,,,Verified,BEE,,
,81,5Q0199555AB,TRANSMISSION MOUNT,GT1-50,01 LHS,3,5,,,,,,,,,,Verified,BEE,,
,82,N  0200251,STOPPER,T01-49,01 RHS,4,207,,,,,,,,,,Verified,BEE,,
,83,5C5857949,GROMMET,T01-48,01 RHS,4,0,,,,,,,,,,Counted,,,
,84,4A5853909  9B9,SPEED NUT,T01-47,01 RHS,4,414,,,,,,,,,,Verified,BEE,,
,85,N  90584102,FIXING PLUG,T01-46,01 RHS,4,235,,,,,,,,,,Verified,BEE,,
,86,8W0907253,SENSOR,T01-43,01 RHS,4,191,,,,,,,,,,Verified,BEE,,
,87,4M0827851D,SPINDLE DRIVE,T01-57,01 RHS,4,5,,,,,,,,,,Verified,BEE,,
,88,WHT003498,FILLISTER HEAD BOL T,T01-58,01 RHS,4,4,78,,,,,,,,,Verified,BEE,,"At magazine
78 pcs transit area"
,89,N  91246101,12-POINT SOCKET FL ANGE BOLT,T01-59,01 RHS,4,64,,,,,,,,,,Verified,BEE,,
,90,4M0827852D,SPINDLE DRIVE,T01-60,01 RHS,4,5,,,,,,,,,,Verified,BEE,,
,91,6X0827951B,PLUG,T01-61,01 RHS,4,88,,,,,,,,,,Verified,BEE,,
,92,4M0827499,ADJUSTING BUFFER,T01-64,01 RHS,4,186,,,,,,,,,,Verified,BEE,,
,93,4M0827506F,LOCK,T01-65,01 RHS,4,4,24,,,,,,,,,Verified,BEE,,
,94,4M0827535C,BOWDEN CABLE,T01-66,01 RHS,4,34,,,,,,,,,,Verified,BEE,,
,95,80A827507A,STRIKER,T01-67,01 RHS,4,17,,,,,,,,,,Verified,BEE,,
,96,N  90511505,HEXAGON NUT W. WASHER,T01-68,01 RHS,4,47,,,,,,,,,,Verified,BEE,,
,97,8W0907253D,SENSOR,T01-69,01 RHS,4,192,,,,,,,,,,Verified,BEE,,
,98,8W0907253C,SENSOR,T01-70,01 RHS,4,193,,,,,,,,,,Verified,BEE,,
,99,8K0863335B,DAMPING,T1-79,01 RHS,4,16,,,,,,,,,,Verified,BEE,,
,100,4M0863433A,"TRIM,TRAY",T1-76,01 RHS,4,12,,,,,,,,,,Verified,BEE,,
,101,4M0864799,INSULATION,T1-71,01 RHS,4,0,14,,,,,,,,,Counted,,,14 pcs transit area
,102,4M086480,INSULATION,T1-72,01 RHS,4,4,,,,,,,,,,Verified,BEE,,
,103,4M0863309B,INSULATION,T1-74,01 RHS,4,12,43,,,,,,,,,Verified,BEE,,43 pcs transit area
,104,4M2823535D,BOWDEN CABLE,T2-86,02 RHS,5,5,5,,,,,,,,,Verified,BEE,,
,105,4M6614517CB,BRAKE UNIT,T2-33,02 LHS,5,6,6,,,,,,,,,Verified,BEE,,
,106,4M0819181B,ONE-WAY FLAP-TYPE VEHICLE VENT.VALVE,T2-46,02 LHS,5,12,,,,,,,,,,Verified,BEE,,
,107,4M0945094Q,"REAR COMBINATION LAMP,PART 2",T2-59,02 LHS,5,1,2,2,2,2,,,,,,Verified,BEE,,Kotak 6 -2 pcs
,108,4M0945093Q,"REAR COMBINATION LAMP,PART 2",T2-57,02 LHS,5,1,2,2,2,,,,,,,Verified,BEE,,
,109,1K8823753B,PLUG,GT1-38,02 RHS,6,208,,,,,208,,,,,Verified,MEGAT,,Actual rack : rack 1
,110,N  90761103,PREV.TORQUE TYPE HEX.NUT W.FLANGE,GT2-53,02 RHS,6,25,,,,,,,,,,Verified,ERIC,,
,111,5QS907338E,EL.CONTROL UNIT,GT2-55,02 RHS,6,86,,,,,,,,,,Verified,ERIC,,
,112,5QS919294B,"CONTROL UNIT,PARK DISTANCE CONTROL",GT2-56,02 RHS,6,76,,,,,,,,,,Verified,ERIC,,
,113,N  91110801,HEXAGON FLANGE SCREW W.WASHER,GT2-46,02 RHS,6,1951,,,,,,,,,,Verified,ERIC,,
,114,N  10335206,HEXALOBULAR SOCKET PAN HEAD SCREW,GT2-40,02 RHS,6,478,,,,,,,,,,Verified,ERIC,,
,115,N  90920301,BLIND RIVET NUT,GT2-15,02 RHS,6,482,,,,,,,,,,Verified,ERIC,,
,116,N  10737001,PREV.TORQUE TYPE HEX.NUT W.FLANGE,GT2-45,02 RHS,6,299,,,,,,,,,,Verified,ERIC,,
,117,WHT005586,TAP END STUD,GT2-52,02 RHS,6,249,,,,,,,,,,Verified,ERIC,,
,118,N  91158501,EXPANSION RIVET,GT2-50,02 RHS,6,542,,,,,,,,,,Verified,ERIC,,
,119,5H6857805M RAA,SEAT BELT,GT2-32,02 RHS,6,8,,,,,,,,,,Verified,ERIC,,
,120,5Q2971856,BRACKET,GT2-58,02 RHS,6,84,,,,,,,,,,Verified,ERIC,,
,121,5H2823535C,BOWDEN CABLE,GT2-44,02 RHS,6,12,35,,,,,,,,,Verified,ERIC,,35 pcs transit area
,122,5H2857706K RAA,SEAT BELT,GT2-59,02 RHS,6,8,,,,,,,,,,Verified,ERIC,,
,123,3Q2614740C,"BRAKE PRESSURE TUBE,CENTER",GT2-43,02 RHS,6,16,,,,,,,,,,Verified,ERIC,,
,124,5QS959655P,"CONTROL UNIT, AIRBAG",GT2-57,02 RHS,6,14,,,,,,,,,,Verified,ERIC,,
,125,4M0614724J,BRAKE LINE,T1-36,01 LHS,7,3,,,,,,,,,,Verified,BEE,,
,126,4M2614705R,BRAKE LINE,T1-38,01 LHS,7,2,,,,,,,,,,Verified,BEE,,
,127,4M2614706AD,BRAKE LINE,T1-39,01 LHS,7,3,,,,,,,,,,Verified,BEE,,
,128,4M0827229B,COVER,T1-52,01 RHS,7,3,,,,,,,,,,Verified,AZWAN,,
,129,4M0831721C,DOOR SEAL,T2-7,02 LHS,7,6,,,,,,,,,,Verified,BEE,,
,130,4M0860021B1P9,ROOF RAILS,T2-2,02 LHS,7,5,,,,,,,,,,Verified,BEE,,
,131,4M0839119D,SEAL,T2-8,02 LHS,7,8,,,,,4,,,,,Verified,BEE,,
,132,4M0839120D,SEAL,T2-76,02 RHS,7,6,,,,,,,,,,Verified,AZWAN,,
,133,4M0880741K,CURTAIN AIRBAG,T2-14,02 LHS,7,5,,,,,,,,,,Verified,AZWAN,,
,134,4M0827705,COVER SEAL,T1-53,01 RHS,7,3,,,,,,,,,,Verified,AZWAN,,
,135,5H6827550K,GAS SPRING,GT1-41,01 RHS,8,44,3,,,,,,,,,Verified,Faisal,,3 pcs
,137,5WC614726,BRAKE LINE,GT2-11,02 LHS,8,3,54,,,,,,,,,Verified,BEE,,54 pcs transit area
,138,N  10572403,TRIPLE SQUARE BOLT,GT2-25,02 LHS,8,1335,,,,,,,,,,Verified,BEE,,
,139,N  98926001,12-POINT SOCKET FLANGE BOLT,GT2-29,02 LHS,8,305,,,,,,,,,,Verified,BEE,,
,140,5WA907651,ACCELERATION SENSOR,GT2-09,02 LHS,8,359,,,,,359,,,,,Verified,Faisal,,
,141,5H6035577A,IMPEDANCE CONVERTER,GT2-08,02 LHS,8,23,,,,,56,,,,,Verified,BEE,,
,142,7P6853910A,CLAMP,GT2-24,02 LHS,8,5534,,,,,,,,,,Verified,BEE,,
,143,5N0035570,ANTIRESONANT CIRCUIT,GT2-19,02 LHS,8,37,,,,,,,,,,Verified,BEE,,
,144,N  91235501,12-POINT SOCKET SHOULDER BOLT,GT2-27,02 LHS,8,112,,,,,112,,,,,Verified,Faisal,,
,145,N  91208801,TRIPLE SQUARE PAN HEAD BOLT,GT2-39,02 LHS,8,219,,,,,,,,,,Verified,BEE,,
,146,5Q2614235L,"RETAINER,ABS-EDL UNIT",GT2-02,02 LHS,8,2,,,,,,,,,,Verified,BEE,,
,147,N  105835019B9,EXPANSION RIVET,GT2-38,02 LHS,8,489,,,,,,,,,,Verified,BEE,,
,148,6R0611797D,BRACKET,GT2-12,02 LHS,8,325,,,,,,,,,,Verified,BEE,,
,149,3Q0614235C,"RETAINER,ABS-EDL UNIT",GT2-33,02 LHS,8,4,90,,,,,,,,,Verified,BEE,,
,150,5WA035507M 041,ANTENNA,GT2-35,02 LHS,8,1,20,,,,,,,,,Verified,BEE,,
,151,5H1971147BP,"HARNESS,TRUNK LID",GT2-34,02 RHS,8,14,,,,,,,,,,Verified,BEE,,
,152,4M0864440A,TRIM,T1-75,1 RHS,9,6,,,,,,,,,,Counted,,,Actual : tact 1 rhs rack no 4
,153,3Q2614739C,"BRAKE PRESSURE TUBE,CENTER",GT2-42,02 LHS,9,14,25,,,,,,,,,Counted,,,"Actual : rack 6
25 pcs transit area"
,154,N  10585401,BLIND RIVET SCREW,T02-65,02 LHS,9,20,266,,,,,,,,,Verified,ERIC,,
,155,4M086773,BRACKET,T02-54,02 LHS,9,15,,,,,,,,,,Counted,,,"Full part no : 4M0867730
"
,156,4M8947406A,ENTRY LIGHT,T02-73,02 LHS,9,16,,,,,,,,,,Verified,ERIC,,
,157,4M0827887C,POWER LATCHING,T02-55,02 LHS,9,12,,,,,,,,,,Verified,ERIC,,
,158,4M0861736A 4PK,HOOK EYE,T02-77,02 LHS,9,88,,,,,,,,,,Verified,ERIC,,
,159,N  90920301,BLIND RIVET NUT,T02-64,02 LHS,9,23,,,,,,,,,,Verified,ERIC,,
,160,N  10621601,HEXALOBULAR SOCKET  SCREW WITH FLANGE,T02-63,02 LHS,9,84,,,,,,,,,,Verified,ERIC,,
,161,80C959121B,SENSOR,T02-62,02 LHS,9,76,,,,,,,,,,Verified,ERIC,,
,162,4M0827713,PLUG,T02-61,02 LHS,9,178,,,,,,,,,,Verified,ERIC,,
,163,8W6943021B,LICENSE PLATE LIGHT,T02-60,02 LHS,9,81,,,,,,,,,,Verified,ERIC,,
,164,4M0000302A,"BRACKET,VEHICLE IDENTIFICATION NO.",T02-68,02 LHS,9,97,,,,,,,,,,Verified,ERIC,,
,165,4M2713035B,EMERGENCY RELEASE,T02-90,02 LHS,9,36,,,,,,,,,,Verified,ERIC,,
,166,N  91173301,HEXAGON NUT W. WASHER,T02-91,02 LHS,9,4,,,,,,,,,,Verified,ERIC,,
,167,N  90681301,CORRUGATED TUBE BR ACKET,T02-92,02 LHS,9,16,39,,,,,,,,,Verified,ERIC,,
,168,4M0863859,FILLER,T02-93,02 LHS,9,15,,,,,,,,,,Verified,ERIC,,
,169,WHT005586,TAP END STUD,T02-97,02 LHS,9,24,,,,,,,,,,Verified,ERIC,,
,170,8X0972501,CONTACT,T02-99,02 LHS,9,39,,,,,,,,,,Counted,,,
,171,4H097126,ANTI-ROTATION FEATURE,T02-98,02 LHS,9,209,,,,,,,,,,Counted,,,Actual Part no : 4H097260
,172,4E0867289,CLAMP,T02-66,02 LHS,9,181,,,,,,,,,,Counted,,,
,173,4M0959655BG,"CONTROL UNIT, AIRBAG",T02-96,02 LHS,9,1,,,,,,,,,,Counted,,,
,174,4M8907777CA,EL.CONTROL UNIT,T02-95,02 LHS,9,3,4,,,,,,,,,Verified,ERIC,,
,175,4M0857706ALV04,SEAT BELT,T2-82,02 LHS,9,7,12,,,,,,,,,Counted,,,12 pcs transit area
,176,4M0857806N V04,SEAT BELT,T2-83,02 LHS,9,5,5,5,,,,,,,,Verified,ERIC,,
,177,4M0857812E V04,SEAT BELT,T2-84,02 LHS,9,1,1,1,2,14,,,,,,Verified,ERIC,,"Kotak no.6 : 1pc
6 pcs transit area"
,178,4M0853927A T94,"MOLDING,FLAP",T02-67,02 LHS,9,1,,,,,,,,,,Verified,ERIC,,
,179,WHT002605,PAN HEAD BOLT,T02-88,02 LHS,9,285,,,,,,,,,,Verified,ERIC,,
,180,4M0863346,BRACKET,T02-89,02 LHS,9,29,,,,,,,,,,Verified,ERIC,,
,181,4M0863345,BRACKET,T02-87,02 LHS,9,34,,,,,,,,,,Verified,ERIC,,
,182,N  90434903,HEXAGON NUT W. WAS HER,T02-58,02 LHS,9,204,,,,,,,,,,Verified,ERIC,,
,183,6Q0823567,LINE BRACKET,T02-85,02 LHS,9,52,,,,,,,,,,Verified,ERIC,,"Part name Clip in box
"
,184,N  91019701,BLIND RIVET,GT2-31,02 LHS,10,4064,,,,,,,,,,Verified,BEE,,
,185,N  90994601,EXPANSION NUT,GT2-20,02 LHS,10,121,,,,,,,,,,Verified,BEE,,
,186,N  90229104,HEXAGON FLANGE NUT,GT2-26,02 LHS,10,340,,,,,,,,,,Verified,BEE,,
,187,WHT003682,TRIPLE SQUARE BOLT,GT2-28,02 LHS,10,480,,,,,,,,,,Verified,BEE,,
,188,N  10456201,HEXALOBULAR SOCKET HEAD CAP BOLT,GT2-13,02 LHS,10,154,,,,,,,,,,Verified,BEE,,
,189,5H0854542,RETAINING STRIP,GT2-05,02 LHS,10,113,,,,,,,,,,Verified,BEE,,
,190,5H0854541,RETAINING STRIP,GT2-04,02 LHS,10,90,,,,,,,,,,Verified,BEE,,
,191,565857819A,SEAT BELT HEIGHT ADJUSTMENT,GT2-21,02 LHS,10,34,,,,,,,,,,Verified,BEE,,
,192,510857817,BELT GUIDE FITTING,GT2-23,02 LHS,10,225,7,,,,,,,,,Verified,BEE,,
,193,3D0805521A,PROTECTIVE FILM,GT2-03,02 LHS,10,609,,,,,,,,,,Verified,BEE,,
,194,3Q2612163A,HEAT SHIELD,GT2-41,02 LHS,10,10,50,,,,,,,,,Verified,BEE,,
,195,5WA614517DS,BRAKE UNIT,GT2-37,02 LHS,10,6,,,,,,,,,,Verified,BEE,,
,196,7N0819465F,ONE-WAY FLAP-TYPE VEHICLE VENT.VALVE,GT2-22,02 LHS,10,55,,,,,,,,,,Verified,BEE,,
,197,5WA614235D,"RETAINER,ABS-EDL UNIT",GT2-64,02 LHS,10,33,,,,,,,,,,Verified,BEE,,
,198,5WA614517DT,BRAKE UNIT,GT2-62,02 LHS,10,4,6,,,,,,,,,Verified,BEE,,
,199,5H6857805M RAA,SEAT BELT,GT2-32,02 LHS,10,8,3,,,,,,,,,Verified,BEE,,
,201,5WC614725B,BRAKE LINE,GT2-10,02 LHS,10,1,4,4,2,,,,,,,Counted,,,4 pcs transit area
,202,8V4861195,COMPENSATING ELEMENT,T02-01,02 LHS,11,61,,,,,,,,,,Verified,BEE,,
,203,4M0971176,ADAPTER CABLE,T02-3,02 LHS,11,14,,,,,,,,,,Verified,BEE,,
,204,N  90570802,HEXAGON NUT W. WASHER,T02-04,02 LHS,11,425,,,,,,,,,,Verified,BEE,,
,205,4M8947405A,ENTRY LIGHT,T02-05,02 LHS,11,15,,,,,,,,,,Verified,BEE,,
,206,4M0947417,ENTRY LIGHT,T02-06,02 LHS,11,32,,,,,,,,,,Verified,BEE,,
,207,4M0861735A 4PK,HOOK EYE,T02-09,02 LHS,11,86,,,,,,,,,,Verified,BEE,,
,208,N  90365912,HEXALOBULAR SOCKET  PAN HEAD SCREW,T02-10,02 LHS,11,134,,,,,,,,,,Verified,BEE,,
,209,4M0810659,BRACKET,T02-11,02 LHS,11,3,44,,,,,,,,,Verified,BEE,,
,210,N  10737001,PREV.TORQUE TYPE HEX.NUT W.FLANGE,T02-12,02 LHS,11,297,,,,,,,,,,Verified,BEE,,
,211,N  10651801,HEXALOBULAR SOCKET  SCREW WITH FLANGE,T02-15,02 LHS,11,128,,,,,,,,,,Verified,BEE,,
,212,4M0035399R,LOUDSPEAKER,T02-16,02 LHS,11,26,,,,,,,,,,Verified,BEE,,
,213,4M0857819A,SEAT BELT HEIGHT ADJUSTMENT,T02-17,02 LHS,11,2,,,,,,,,,,Verified,BEE,,
,214,N  10784201,TRIPLE SQUARE BOLT,T02-18,02 LHS,11,300,,,,,,,,,,Verified,BEE,,
,215,N  98926001,12-POINT SOCKET FLANGE BOLT,T02-20,02 LHS,11,198,,,,,,,,,,Verified,BEE,,
,216,N  91225901,HEXALOBULAR SOCKET  SCREW WITH FLANGE,T02-21,02 LHS,11,81,,,,,,,,,,Verified,BEE,,
,217,N  91235501,12-POINT SOCKET SHOULDER BOLT,T02-22,02 LHS,11,39,,,,,,,,,,Verified,BEE,,
,218,8V3857817B,BELT GUIDE FITTING,T02-23,02 LHS,11,17,,,,,,,,,,Verified,BEE,,
,219,N  98924701,TRIPLE SQUARE BOLT,T02-26,02 LHS,11,95,,,,,,,,,,Verified,BEE,,
,220,N  91019701,BLIND RIVET,T02-30,02 LHS,11,255,,,,,,,,,,Verified,BEE,,
,221,7P6853910A,CLAMP,T02-32,02 LHS,11,118,,,,,,,,,,Verified,BEE,,
,222,8W0614235F,"RETAINER,ABS-EDL UNIT",T02-34,02 LHS,11,16,,,,,,,,,,Verified,BEE,,
,223,4M0845453,CLAMPING STRIP,T02-29,02 LHS,11,70,,,,,55,,,,,Verified,BEE,,
,224,4M0845454,CLAMPING STRIP,T02-31,02 LHS,11,70,,,,,47,,,,,Verified,BEE,,
,225,4M0857705ALV04,SEAT BELT,T2-19,02 LHS,11,3,12,,,,,,,,,Verified,BEE,,12 pcs transit area
,226,4M0857811E V04,SEAT BELT,T2-27,02 LHS,11,4,16,,,,,,,,,Verified,BEE,,16 pcs transit area
,227,N  10808801,HEXAGON FLANGE BOLT,T02-35,02 LHS,11,50,,,,,,,,,,Verified,BEE,,
,228,4M0614125G,"RETAINER,ABS",T02-36,02 LHS,11,27,,,,,,,,,,Verified,BEE,,
,229,N  0116662,WASHER,T02-37,02 LHS,11,42,,,,,,,,,,Verified,BEE,,
,231,N  90570805,HEXAGON NUT W. WASHER,T02-38,02 LHS,11,9,,,,,,,,,,Verified,BEE,,
,232,4M0857805N V04,SEAT BELT,T2-24,02 LHS,11,15,,,,,,,,,,Verified,BEE,,
,233,4G0611797,BRACKET,T02-40,02 LHS,11,57,,,,,,,,,,Verified,BEE,,
,234,N  10335501,SWIVEL-TYPE OMEGA CLIP,T02-41,02 LHS,11,296,,,,,,,,,,Verified,BEE,,
,235,8K0611797F,BRACKET,T02-42,02 LHS,11,58,,,,,,,,,,Verified,BEE,,
,236,8D0853419F,SEALING STRIP,T02-45,02 LHS,11,43,,,,,,,,,,Verified,BEE,,
,237,N  10082913,HEXAGON HEAD BOLT WITH WASHER,T02-39,02 LHS,11,46,,,,,,,,,,Verified,BEE,,
,238,4M0614723E,BRAKE LINE,T02-44,02 LHS,11,71,,,,,,,,,,Verified,BEE,,
,239,4M0035225P,ANTENNA AMPLIFIER,T02-47,02 LHS,11,15,,,,,,,,,,Verified,BEE,,
,240,4M0035225A,ANTENNA AMPLIFIER,T02-48,02 LHS,11,15,,,,,,,,,,Verified,BEE,,
,241,56G919279,"LOUDSPEAKER,PARK DISTANCE CONTROL",T02-49,02 LHS,11,103,,,,,,,,,,Verified,BEE,,
,242,4F0857784,EXPANSION RIVET,T02-50,02 LHS,11,435,,,,,,,,,,Verified,BEE,,
