,No.,Material,PART NAME,Storage Bin,Location,TACT,Seq 1,Seq 2,Seq 3,Seq 4,Seq 5,Recount 1,Recount 2,Recount 3,Recount 4,Recount 5,Status,Verify By,Remark
,20,4M0945094Q,REAR COMBINATION LAMP,T2-59,B22,02 LHS,0,,,,,,,,,,Counted,,
,21,5WA614517DS,BRAKE UNIT,GT2-37,B22,02 LHS,0,,,,,,,,,,Counted,,
,22,5H6880741N,CURTAIN AIRBAG,GT2-16,B22,02 LHS,0,,,,,,,,,,Counted,,
,23,5H4867913 9B9,WELT,GT2-17,B22,02 LHS,0,,,,,,,,,,Counted,,
,24,5H4867911 9B9,WELT,GT2-18,B22,02 LHS,0,,,,,,,,,,Counted,,
,25,4M0860021B 1P9,ROOF RAILS,T2-2,B22,02 LHS,0,,,,,,,,,,Counted,,
,26,4M0831721C,DOOR SEAL,T2-7,B22,02 LHS,0,,,,,,,,,,Counted,,
,27,4M0839119D,GASKET,T2-8,B22,02 LHS,0,,,,,,,,,,Counted,,
,28,4M0880741K,CURTAIN AIRBAG,T2-14,B22,02 LHS,0,,,,,,,,,,Counted,,
,29,5WA614517DT,BRAKEUNIT,GT2-62,B22,02 LHS,0,,,,,,,,,,Counted,,
,30,4M2823535D,BOWDEN CABLE,T2-86,B22,02 RHS,0,,,,,,,,,,Counted,,
,31,5WC723058A,PEDAL CLUSTER,GT2-61,B22,02 RHS,0,,,,,,,,,,Counted,,
,32,5WC614105BL,BRAKE BOOSTER,GT2-60,B22,02 RHS,0,,,,,,,,,,Counted,,
,33,5H6880742N,CURTAIN AIRBAG,GT2-47,B22,02 RHS,0,,,,,,,,,,Counted,,
,34,5H4867912 9B9,WELT,GT2-48,B22,02 RHS,0,,,,,,,,,,Counted,,
,35,5H4867914 9B9,WELT,GT2-49,B22,02 RHS,0,,,,,,,,,,Counted,,
,36,4M0860022B 1P9,ROOF RAILS,T2-72,B22,02 RHS,0,,,,,,,,,,Counted,,
,37,4M0833721C,DOOR SEAL,T2-75,B22,02 RHS,0,,,,,,,,,,Counted,,
,38,4M0839120D,GASKET,T2-76,B22,02 RHS,1,,,,,1,,,,,Verified,LUQMAN,
,39,4M0880742K,CURTAIN AIRBAG,T2-80,B22,02 RHS,0,,,,,,,,,,Counted,,
,40,5WC614105BK,BRAKEBOOSTER,GT2-63,B22,02 RHS,0,,,,,,,,,,Counted,,
,41,4M1863517F,INSERT,T3-3,B22,03 LHS,0,,,,,,,,,,Counted,,
,42,4M0907286,"HOLDER,ELECTR. CONTR.UNIT",T3-4,B22,03 LHS,0,,,,,,,,,,Counted,,
,43,4M0863028,"INSERT,FLOOR MAT",T3-28,B22,03 RHS,0,,,,,,,,,,Counted,,
,44,4M0612103AG,BRAKE BOOSTER,T3-37,B22,03 RHS,0,,,,,,,,,,Counted,,
,45,4M0907341A,BRACKET,T4-43,B22,04 LHS,0,,,,,,,,,,Counted,,
,46,4M0616203F,PRESSURE ACCUMULATOR,T4-45,B22,04 LHS,0,,,,,,,,,,Counted,,
,47,4M0819803D,REAR FOOTWELL AIR DUCT,T4-47,B22,04 LHS,0,,,,,,,,,,Counted,,
,48,4M0819821C,REAR FOOTWELL AIR DUCT,T4-49,B22,04 LHS,0,,,,,,,,,,Counted,,
,49,4M0819805B,REAR FOOTWELL AIR DUCT,T4-50,B22,04 LHS,0,,,,,,,,,,Counted,,
,50,5H0863831A,ENGINE HOOD DAMPING,GT4-10,B22,04 LHS,0,,,,,,,,,,Counted,,
,51,5Q0819805E,REAR FOOTWELL AIR DUCT,GT4-11,B22,04 LHS,0,,,,,,,,,,Counted,,
,52,5Q0819806E,REAR FOOTWELL AIR DUCT,GT4-12,B22,04 LHS,0,,,,,,,,,,Counted,,
,53,5H0867291 4PK,"TRIM PANEL,PILLAR B,LOWER",GT4-13,B22,04 LHS,0,,,,,,,,,,Counted,,
,54,5H0867292 4PK,"TRIM PANEL,PILLAR B,LOWER",GT4-14,B22,04 LHS,0,,,,,,,,,,Counted,,
,55,4M8955023E,WIPER MOTOR W. LINKAGE,T4-38,B22,04 LHS,5,,,,,,,,,,Verified,AMMAR,
,56,4M0863825A,HOOD SOUND,T4-40,B22,04 LHS,5,,,,,,,,,,Verified,AMMAR,
,57,4M0823126,IMPACT PROTECTION,T4-41,B22,04 LHS,4,,,,,,,,,,Verified,AMMAR,
,58,4M0819811E,"REAR FOOTWELL AIR DUCT,PILLAR",T4-51,B22,04 LHS,5,,,,,,,,,,Verified,AMMAR,
,59,4M0819725B,AIR DUCT ELEMENT,T4-53,B22,04 LHS,5,,,,,,,,,,Verified,AMMAR,
,60,4M0867239F 4PK,"TRIM PANEL,PILLAR B,LOWER",T4-55,B22,04 LHS,5,,,,,,,,,,Verified,AMMAR,
,61,4M0863951B,FILLER,T1-73/ T4-54,B22,04 LHS/ 1LHS,0,,,,,,,,,,Counted,,
,62,4M0616204F,PRESSURE ACCUMULATOR,T4-75,B22,04 RHS,0,,,,,,,,,,Counted,,
,63,4M0819804E,REAR FOOTWELL AIR DUCT,T4-76,B22,04 RHS,0,,,,,,,,,,Counted,,
,64,4M0819822C,REAR FOOTWELL AIR DUCT,T4-77,B22,04 RHS,0,,,,,,,,,,Counted,,
,65,4M0819806B,REAR FOOTWELL AIR DUCT,T4-78,B22,04 RHS,0,,,,,,,,,,Counted,,
,66,8W2035283,COMMUNICATIONSBOX,T4-83,B22,04 RHS,0,,,,,,,,,,Counted,,
,67,5H0827469AFDPJ,RELEASE MECHANISM,GT4-47,B22,04 RHS,0,,,,,,,,,,Counted,,
,68,5H0945275D,"REAR COMBINATION LAMP, PART 1",GT4-48,B22,04 RHS,0,,,,,,,,,,Counted,,
,69,5H0945276E,REAR COMBINATION LAMP,GT4-49,B22,04 RHS,0,,,,,,,,,,Counted,,
,70,5H6807863,ATTACHMENT STRIP,GT4-34,B22,04 RHS,0,,,,,,,,,,Counted,,
,71,4M0807458A,GUIDE,T4-71,B22,04 RHS,5,,,,,,,,,,Verified,AMMAR,
,72,4M0819812G,"REAR FOOTWELL AIR DUCT,PILLAR",T4-79,B22,04 RHS,5,,,,,,,,,,Verified,AMMAR,
,73,4M0819726B,AIR DUCT ELEMENT,T4-81,B22,04 RHS,5,,,,,,,,,,Verified,AMMAR,
,74,4M0867240K 4PK,"TRIM PANEL,PILLAR B,LOWER",T4-82,B22,04 RHS,5,,,,,,,,,,Verified,AMMAR,
,75,8W2035283,COMMUNICATIONSBOX,T4-83,B22,04 RHS,0,,,,,,,,,,Counted,,
,76,5H0867233Q XCC,"TRIM PANEL,PILLAR A",GT5-04,B22,05 LHS,0,,,,,,,,,,Counted,,
,77,5H0867234Q XCC,"TRIM PANEL,PILLAR A",GT5-05,B22,05 LHS,0,,,,,,,,,,Counted,,
,78,5H0867243E 4PK,"TRIM PANEL,PILLAR B",GT5-06,B22,05 LHS,0,,,,,,,,,,Counted,,
,79,5H0867244E 4PK,"TRIM PANEL,PILLAR B",GT5-07,B22,05 LHS,0,,,,,,,,,,Counted,,
,80,4M0881677A,SEAT FRAME,T5-2,B22,05 LHS,0,,,,,,,,,,Counted,,
,81,4P0915089C,BATTERY,T5-7,B22,05 LHS,0,,,,,,,,,,Counted,,
,82,4M0867233AB2O9,"TRIM PANEL,PILLAR A",T5-13,B22,05 LHS,0,,,,,,,,,,Counted,,
,83,4M0867287H 2O9,"TRIM PANEL,PILLAR C",T5-20,B22,05 LHS,0,,,,,,,,,,Counted,,
,84,4M0867245F 2O9,"TRIM PANEL,PILLAR D",T5-22,B22,05 LHS,0,,,,,,,,,,Counted,,
,85,4M0845297BK,SIDE WINDOW GLASS,T5-28,B22,05 LHS,0,,,,,,,,,,Counted,,
,86,4M0845298CG,SIDE WINDOW GLASS,T5-29,B22,05 LHS,0,,,,,,,,,,Counted,,
,87,3WA915107C,BATTERY,GT5-23,B22,05 LHS,0,,,,,,,,,,Counted,,
,88,4M0863560,DRIVE UNIT,T5-31,B22,05 RHS,0,,,,,,,,,,Counted,,
,89,4M0863697P,TRIM PANEL,T5-37,B22,05 RHS,0,,,,,,,,,,Counted,,
,90,4N0915105G,BATTERY,T5-41,B22,05 RHS,0,,,,,,,,,,Counted,,
,91,4M0915524K,BRACKET,T5-42,B22,05 RHS,0,,,,,,,,,,Counted,,
,92,4M0915399L,BATTERY COVER,T5-43,B22,05 RHS,0,,,,,,,,,,Counted,,
,93,4M0867234AB2O9,"TRIM PANEL,PILLAR A",T5-60,B22,05 RHS,0,,,,,,,,,,Counted,,
,94,4M0867244F 2O9,"TRIM PANEL,PILLAR B",T5-61,B22,05 RHS,0,,,,,,,,,,Counted,,
,95,4M0867246F 2O9,"TRIM PANEL,PILLAR D",T5-64,B22,05 RHS,0,,,,,,,,,,Counted,,
,96,5WA819805B,REARFOOTWELLAIRDUCT,GT5-24,B22,05 RHS,0,,,,,,,,,,Counted,,
,97,5WA819806B,REARFOOTWELLAIRDUCT,GT5-25,B22,05 RHS,0,,,,,,,,,,Counted,,
,98,5H0867233P 4PK,"TRIMPANEL,PILLARA",GT5-26,B22,05 RHS,0,,,,,,,,,,Counted,,
,99,5H0867234P 4PK,"TRIMPANEL,PILLARA",GT5-27,B22,05 RHS,0,,,,,,,,,,Counted,,
,100,5Q0971592A,BRACKET,GT6-05,B22,06 LHS,0,,,,,,,,,,Counted,,
,101,5G2815159C,COVER,GT6-12,B22,06 LHS,0,,,,,,,,,,Counted,,
,102,5WA199262AN,ENGINE MOUNT,GT6-03,B22,06 LHS,0,,,,,,,,,,Counted,,
,103,5G2815159C,COVER,GT6-12,B22,06 LHS,0,,,,,,,,,,Counted,,
,104,5H0806239,PLENUM PANEL,GT6-13,B22,06 LHS,0,,,,,,,,,,Counted,,
,105,5Q0816741C,REFRIGERANT LINE,GT6-14,B22,06 LHS,0,,,,,,,,,,Counted,,
,106,5WC816738B,REFRIGERANT PIPE,GT6-15,B22,06 LHS,0,,,,,,,,,,Counted,,
,107,5WA955448,WASHER FLUID RESERVOIR,GT6-16,B22,06 LHS,0,,,,,,,,,,Verified,Nisha,
,108,5WA816743B,REFRIGERANT LINE,GT6-17,B22,06 LHS,0,,,,,,,,,,Counted,,
,109,4M2816740,REFRIGERANT LINE,T6-20,B22,06 LHS,0,,,,,,,,,,Counted,,
,110,4M2819904B,AIR INTAKE,T6-24,B22,06 LHS,0,,,,,,,,,,Counted,,
,111,4M2819979B,DRIP RAIL,T6-28,B22,06 LHS,0,,,,,,,,,,Counted,,
,112,4M0816738M,REFRIGERANT LINE,T6-29,B22,06 LHS,0,,,,,,,,,,Counted,,
,113,4M0955448C,WASHER FLUID RESERVOIR,T6-30,B22,06 LHS,0,,,,,,,,,,Counted,,
,114,4M0819523A,PLENUM CHAMBER BULKHEAD,T6-39,B22,06 LHS,0,,,,,,,,,,Counted,,
,115,4M2819350,HEATING HOSE,T6-41,B22,06 LHS,0,,,,,,,,,,Counted,,
,116,4M0806303H,STRUT,T6-51,B22,06 LHS,0,,,,,,,,,,Counted,,
,117,4M0864831AD,"TRIM, DASH PANEL",T6-53,B22,06 LHS,0,,,,,,,,,,Counted,,
,118,4M0825621K,"HEAT SHIELD, CROSS PANEL",T6-55,B22,06 LHS,0,,,,,,,,,,Counted,,
,119,5WA199262AM,ENGINEMOUNT,GT6-32,B22,06 LHS,0,,,,,,,,,,Counted,,
,120,3WA907318A,COVER,GT6-33,B22,06 LHS,0,,,,,,,,,,Counted,,
,121,5WA816743C,REFRIGERANTLINE,GT6-34,B22,06 LHS,0,,,,,,,,,,Counted,,
,122,4M0864843N,"TRIM TUNNEL,0UTER",T8-27,B22,08 LHS,0,,,,,,,,,,Counted,,
,123,4M0863983AA,DAMPING,T8-29,B22,08 LHS,0,,,,,,,,,,Counted,,
,124,4M0825692H,"HEAT SHIELDING, TUNNEL,REAR",T8-30,B22,08 LHS,0,,,,,,,,,,Counted,,
,125,4M0825661AN,"HEAT SHIELD,TUNNEL FRONT",T8-33,B22,08 LHS,0,,,,,,,,,,Counted,,
,126,4M0825662R,"HEAT SHIELD,TUNNEL FRONT",T8-34,B22,08 LHS,0,,,,,,,,,,Counted,,
,127,4M0825711F,"HEAT SHIELD,TUNNEL FRONT",T8-36,B22,08 LHS,0,,,,,,,,,,Counted,,
,128,4M0825623F,"HEAT SHIELD, CROSS PANEL",T8-38,B22,08 LHS,0,,,,,,,,,,Counted,,
,129,5Q0501733A,SHIELD,GT8-04,B22,08 LHS,0,,,,,,,,,,Counted,,
,130,5Q0501734A,SHIELD,GT8-05,B22,08 LHS,0,,,,,,,,,,Counted,,
,131,5WA915331B,BATTERY TRAY,GT8-06,B22,08 LHS,0,,,,,,,,,,Counted,,
,132,4M0201544BF,FUEL LINE,T8-45,B22,08 RHS,0,,,,,,,,,,Counted,,
,133,4M0201995K,BREATHER PIPE,T8-56,B22,08 RHS,0,,,,,,,,,,Counted,,
,134,4M0821170B,COVER,T9-22,B22,09 LHS,0,,,,,,,,,,Counted,,
,135,4P0915089C,BATTERY,T5-7,B22,09 LHS,0,,,,,,,,,,Counted,,
,136,5WA915418B,CUP,GT9-15,B22,09 LHS,0,,,,,,,,,,Counted,,
,137,5Q0129217B,AIR DEFLECTOR,GT9-16,B22,09 LHS,6,,,,,,,,,,Verified,AMMAR,
,138,5WA121407F,EXPANSION TANK,GT9-17,B22,09 LHS,6,,,,,6,,,,,Verified,ASRAF,Atas seq rack T9 dalam kotak kuning
,139,5H0807305F,BUMPER BAR,GT9-46,B22,09 LHS,18,,,,,,,,,,Verified,AMMAR,
,140,4M0806391C,ADAPTER,T9-1,B22,09 LHS,0,,,,,,,,,,Counted,,
,141,4M0805645B,ADDITIONAL REINF.,T9-2,B22,09 LHS,0,,,,,,,,,,Counted,,
,142,4M0863993F,PLENUM PANEL DAMPING,T9-5,B22,09 LHS,0,,,,,,,,,,Counted,,
,143,4M0816741DB,REFRIGERANT LINE,T9-19,B22,09 LHS,0,,,,,,,,,,Counted,,
,144,4M0821169B,COVER,T9-21,B22,09 LHS,0,,,,,,,,,,Counted,,
,145,4M8819401D,PLENUM PANEL COVER,T9-24,B22,09 LHS,0,,,,,,,,,,Counted,,
,146,4M0823723,"SEAL,WATER BOX",T9-25,B22,09 LHS,0,,,,,,,,,,Counted,,
,147,4M0121405AG,EXPANSION TANK,T9-27,B22,09 LHS,0,,,,,,,,,,Counted,,
,148,4M0802507G,CONNECTING PART,T9-34,B22,09 LHS,0,,,,,,,,,,Counted,,
,149,4M0133835G,AIR CLEANER,T9-37,B22,09 LHS,0,,,,,,,,,,Counted,,
,150,4M0807329,RETAINING PART,T9-42,B22,09 LHS,0,,,,,,,,,,Counted,,
,151,4M0807309,BUMPER BAR,T9-44,B22,09 LHS,0,,,,,,,,,,Counted,,
,152,4M0807453B,GUIDE,T9-46,B22,09 LHS,0,,,,,,,,,,Counted,,
,153,4M0807454B,GUIDE,T9-48,B22,09 LHS,0,,,,,,,,,,Counted,,
,154,4M0129510H,RAW AIR INDUCTION,T9-49,B22,09 LHS,0,,,,,,,,,,Counted,,
,155,#N/A,REARSPOILER,GT9-53,B22,09 LHS,0,,,,,,,,,,Counted,,
,156,5H6827933G A7C,REARSPOILER,GT9-53,B22,09 LHS,0,,,,,,,,,,Counted,,
,157,5H6827933G C3J,REARSPOILER,GT9-53,B22,09 LHS,0,,,,,,,,,,Counted,,
,158,5H6827933G Y9T,REARSPOILER,GT9-53,B22,09 LHS,0,,,,,,,,,,Counted,,
,159,5H6827933G T5H,REARSPOILER,GT9-53,B22,09 LHS,0,,,,,,,,,,Counted,,
,160,5H0809909 D5K,FUELFILLERDOOR,GT9-48,B22,09 LHS,0,,,,,,,,,,Counted,,
,161,5H0809909 C9A,FUELFILLERDOOR,GT9-48,B22,09 LHS,0,,,,,,,,,,Counted,,
,162,5H0809909 Y9T,FUELFILLERDOOR,GT9-48,B22,09 LHS,0,,,,,,,,,,Counted,,
,163,5H0809909 C7Q,FUELFILLERDOOR,GT9-48,B22,09 LHS,0,,,,,,,,,,Counted,,
,164,4M0809906D,FUEL FILLER DOOR,T9-50,B22,09 RHS,0,,,,,,,,,,Counted,,
,165,5H0806929B,CARRIER,GT9-51,B22,09 RHS,0,,,,,,,,,,Counted,,
,166,5H0806930B,CARRIER,GT9-52,B22,09 RHS,0,,,,,,,,,,Counted,,
,167,5H6827934G 0K1,REAR SPOILER,GT9-53,B22,09 RHS,0,,,,,,,,,,Counted,,
,168,5H6827934G A7C,REAR SPOILER,GT9-53,B22,09 RHS,0,,,,,,,,,,Counted,,
,169,5H6827934G C3J,REAR SPOILER,GT9-53,B22,09 RHS,0,,,,,,,,,,Counted,,
,170,5H6827934G Y9T,REAR SPOILER,GT9-53,B22,09 RHS,0,,,,,,,,,,Counted,,
,171,5H6827934G T5H,REAR SPOILER,GT9-53,B22,09 RHS,0,,,,,,,,,,Counted,,
,172,5H0809909 0K1,FUELFILLERDOOR,GT9-48,B22,09 RHS,0,,,,,,,,,,Counted,,
,173,5H0809909 A7C,FUELFILLERDOOR,GT9-48,B22,09 RHS,0,,,,,,,,,,Counted,,
,174,5H0809909 C3J,FUELFILLERDOOR,GT9-48,B22,09 RHS,0,,,,,,,,,,Counted,,
,175,5H0809909 Y9T,FUELFILLERDOOR,GT9-48,B22,09 RHS,0,,,,,,,,,,Counted,,
,176,5H0809909 T5H,FUELFILLERDOOR,GT9-48,B22,09 RHS,0,,,,,,,,,,Counted,,
,177,5H2863483A 4PK,"TRIM PANEL,PILLAR A,LWR",GT9-54,B22,09 RHS,0,,,,,,,,,,Counted,,
,178,5H2863484B 4PK,"TRIM PANEL,PILLAR A,LWR",GT9-55,B22,09 RHS,0,,,,,,,,,,Counted,,
,179,4M2419753D,STEERING SHAFT,T9-56,B22,09 RHS,0,,,,,,,,,,Counted,,
,180,4M2867272B 4PK,"TRIM PANEL,PILLAR A,LWR",T9-61,B22,09 RHS,0,,,,,,,,,,Counted,,
,181,4M2867271B 4PK,"TRIM PANEL,PILLAR A,LWR",T9-67,B22,09 RHS,0,,,,,,,,,,Counted,,
,182,4M0827933A S9R,REAR SPOILER,T9-77,B22,09 RHS,0,,,,,,,,,,Counted,,
,183,4M0854815F,CD-ENHANCING SILL COVER,T10-40,B22,10 LHS,0,,,,,,,,,,Counted,,
,184,4M0854816F,CD-ENHANCING SILL COVER,T10-41,B22,10 LHS,0,,,,,,,,,,Counted,,
,185,5H0854857A,CD-ENHANCING SILL COVER,GT10-06,B22,10 LHS,0,,,,,,,,,,Counted,,
,186,5H0854858A,CD-ENHANCING SILL COVER,GT10-07,B22,10 LHS,0,,,,,,,,,,Counted,,
,187,3Q0825235A,SHIELD,GT10-09,B22,10 LHS,0,,,,,,,,,,Counted,,
,188,5H0805911J,WHEEL HOUSING LINER,GT10-10,B22,10 LHS,0,,,,,,,,,,Counted,,
,189,5H0805969B,"WHEEL HOUSING LINER,FRONT",GT10-11,B22,10 LHS,0,,,,,,,,,,Counted,,
,190,5H0810971D,"WHEEL HOUSING LINER,REAR",GT10-12,B22,10 LHS,0,,,,,,,,,,Counted,,
,191,5H0810972D,"WHEEL HOUSING LINER,REAR",GT10-13,B22,10 LHS,0,,,,,,,,,,Counted,,
,192,5H0853651AR041,RADIATOR GRILLE,GT10-14,B22,10 LHS,11,,,,,,,,,,Verified,AMMAR,
,193,5WA825201H,CD-ENHANCING UNDERBODY PANEL,GT10-15,B22,10 LHS,0,,,,,,,,,,Counted,,
,194,4M0825213J,DRAG REDUCTION,T10-17,B22,10 LHS,0,,,,,,,,,,Counted,,
,195,4M0825205AA,CD-ENHANCING UNDERBODY PANEL,T10-20,B22,10 LHS,0,,,,,,,,,,Counted,,
,196,4M0825285R,SHIELD,T10-23,B22,10 LHS,0,,,,,,,,,,Counted,,
,197,4M0825235BA,SHIELD,T10-27,B22,10 LHS,0,,,,,,,,,,Counted,,
,198,4M0821171AP,WHEEL HOUSING LINER,T10-32,B22,10 LHS,0,,,,,,,,,,Counted,,
,199,4M0821191G,WHEEL HOUSING LINER,T10-34,B22,10 LHS,0,,,,,,,,,,Counted,,
,200,4M0853025J S9R,WHEEL TRIM,T10-37,B22,10 LHS,0,,,,,,,,,,Counted,,
,201,4M0810171J,"WHEEL HOUSING LINER,REAR",T10-43,B22,10 LHS,0,,,,,,,,,,Counted,,
,202,4M0810172L,"WHEEL HOUSING LINER,REAR",T10-44,B22,10 LHS,0,,,,,,,,,,Counted,,
,203,4M0804033G,AIR DUCT ELEMENT,T10-45,B22,10 LHS,0,,,,,,,,,,Counted,,
,204,4M0825236AK,SHIELD,T10-47,B22,10 LHS,0,,,,,,,,,,Counted,,
,205,5Q0825230K,"DRAGREDUCTIONCOVERING,TUNNEL",GT10-54,B22,10 LHS,0,,,,,,,,,,Counted,,
,206,5WA825236C,SHIELD,GT10-55,B22,10 LHS,0,,,,,,,,,,Counted,,
,207,5H0805911H,WHEELHOUSINGLINER,GT10-56,B22,10 LHS,0,,,,,,,,,,Counted,,
,208,5H0805912K,WHEELHOUSINGLINER,GT10-57,B22,10 LHS,0,,,,,,,,,,Counted,,
,209,5H0805912M,WHEEL HOUSING LINER,GT10-35,B22,10 RHS,0,,,,,,,,,,Counted,,
,210,5H0805970A,"WHEEL HOUSING LINER,FRONT",GT10-36,B22,10 RHS,0,,,,,,,,,,Counted,,
,211,5WA501713,SHIELD,GT10-37,B22,10 RHS,0,,,,,,,,,,Counted,,
,212,5WA825202H,CD-ENHANCING UNDERBODY PANEL,GT10-38,B22,10 RHS,0,,,,,,,,,,Counted,,
,213,5WA825102A,CD-ENHANCING UNDERBODY PANEL,GT10-39,B22,10 RHS,0,,,,,,,,,,Counted,,
,214,4M0807081B 9B9,"COVER,BUMPER",T10-56,B22,10 RHS,0,,,,,,,,,,Counted,,
,215,4M0825212H,CD-ENHANCING UNDERBODY PANEL,T10-63,B22,10 RHS,0,,,,,,,,,,Counted,,
,216,4M0825219F,"CD-ENHANCING UNDERBODY PANEL,R",T10-64,B22,10 RHS,0,,,,,,,,,,Counted,,
,217,4M0825214J,"CD-ENHANCING UNDERBODY PANEL,R",T10-66,B22,10 RHS,0,,,,,,,,,,Counted,,
,218,4M0825206P,CD-ENHANCING UNDERBODY PANEL,T10-67,B22,10 RHS,0,,,,,,,,,,Counted,,
,219,4M0821172AG,WHEEL HOUSING LINER,T10-70,B22,10 RHS,0,,,,,,,,,,Counted,,
,220,4M0821192H,WHEEL HOUSING LINER,T10-71,B22,10 RHS,0,,,,,,,,,,Counted,,
,221,4M0853026J S9R,WHEEL TRIM,T10-73,B22,10 RHS,0,,,,,,,,,,Counted,,
,222,5H0853651AS041,RADIATORGRILLE,GT10-63,B22,10 RHS,0,,,,,,,,,,Counted,,
,223,5H0853651AT041,RADIATORGRILLE,GT10-72,B22,10 RHS,0,,,,,,,,,,Counted,,
,224,5H6863544A,"TRIM,SPARE WHEEL WELL",GT13-23,B22,13 LHS,0,,,,,,,,,,Counted,,
,225,5H6867765D 4PK,"TRIM,WHEEL HOUSINGREAR",GT13-24,B22,13 LHS,0,,,,,,,,,,Counted,,
,226,5H6867766D 4PK,"TRIM,WHEEL HOUSINGREAR",GT13-25,B22,13 LHS,0,,,,,,,,,,Counted,,
,227,5H6867287B 4PK,"TRIM PANEL,PILLAR C",GT13-26,B22,13 LHS,0,,,,,,,,,,Counted,,
,228,4M0863869A,TUNNEL DAMPING,T13-1,B22,13 LHS,0,,,,,,,,,,Counted,,
,229,4M0867767G 4PK,"TRIM,WHEEL HOUSING REAR",T13-48,B22,13 LHS,0,,,,,,,,,,Counted,,
,230,4M0867768G 4PK,"TRIM,WHEEL HOUSING REAR",T13-50,B22,13 LHS,0,,,,,,,,,,Counted,,
,231,4M0853369D 4PK,SCUFF PLATE,T13-51,B22,13 LHS,0,,,,,,,,,,Counted,,
,232,4M0853370D 4PK,SCUFF PLATE,T13-52,B22,13 LHS,0,,,,,,,,,,Counted,,
,233,4M8863075F 24A,TRAY,T13-53,B22,13 LHS,0,,,,,,,,,,Counted,,
,234,5H6867427N CA9,LUGGAGE COMP. SIDE TRIM,GT13-49,B22,13 RHS,0,,,,,,,,,,Counted,,
,235,5H0419089QLNID,STEERING WHEEL,GT13-50,B22,13 RHS,3,,,,,,,,,,Verified,Hazizie,
,236,5H6867761 4PK,"SUPPORT, SIDE",GT13-51,B22,13 RHS,0,,,,,,,,,,Counted,,
,237,5H6867762D 4PK,"SUPPORT, SIDE",GT13-52,B22,13 RHS,0,,,,,,,,,,Counted,,
,238,5H6867288B 4PK,"TRIM PANEL,PILLAR C",GT13-53,B22,13 RHS,0,,,,,,,,,,Counted,,
,239,5H6867428H CA9,LUGGAGE COMP. SIDE TRIM,GT13-54,B22,13 RHS,5,,,,,,,,,,Verified,Hazizie,
,240,5NA880201G XEA,AIRBAG UNIT,GT13-55,B22,13 RHS,5,,,,,,,,,,Verified,Hazizie,
,241,8Y0035465A,BOOSTER,T13-68,B22,13 RHS,0,,,,,,,,,,Counted,,
,242,4M0863527K 4PK,SHELF,T13-72,B22,13 RHS,0,,,,,,,,,,Counted,,
,243,4M0863528K 4PK,SHELF,T13-73,B22,13 RHS,0,,,,,,,,,,Counted,,
,244,4M0863879H HCK,SIDE TRIM PANEL,T13-76,B22,13 RHS,6,,,,,6,,,,,Verified,LUQMAN,
,245,4M0863880C HCK,SIDE TRIM PANEL,T13-86,B22,13 RHS,6,,,,,6,,,,,Verified,LUQMAN,
,246,4M8419091ACQQT,STEERING WHEEL,T13-99,B22,13 RHS,0,,,,,,,,,,Counted,,
